x,y,z
-5.0,-5.0,0.19009768748204894
-5.0,-4.9,0.15465712780625546
-5.0,-4.800000000000001,0.08135110938759198
-5.0,-4.7,-0.011872497828281613
-5.0,-4.6000000000000005,-0.1021893035079545
-5.0,-4.5,-0.16748660371232554
-5.0,-4.4,-0.191777342028406
-5.0,-4.3,-0.16911429854730403
-5.0,-4.2,-0.10504617671446678
-5.0,-4.1000000000000005,-0.01525908720843717
-5.0,-4.0,0.07826395902548898
-5.0,-3.9000000000000004,0.15262525853898073
-5.0,-3.8000000000000003,0.1896185717701494
-5.0,-3.7,0.18018664545310173
-5.0,-3.6,0.12663874410018117
-5.0,-3.5,0.04208526151093088
-5.0,-3.4000000000000004,-0.052772160871003115
-5.0,-3.3000000000000003,-0.13470911777826247
-5.0,-3.2,-0.18366458450867595
-5.0,-3.1,-0.18765255542504694
-5.0,-3.0,-0.14569663616169976
-5.0,-2.9000000000000004,-0.06806909901814104
-5.0,-2.8000000000000003,0.02622412755788043
-5.0,-2.7,0.11409677310931028
-5.0,-2.6,0.17403454933950577
-5.0,-2.5,0.19136259822428964
-5.0,-2.4000000000000004,0.1618384090598346
-5.0,-2.3000000000000003,0.09269053304569386
-5.0,-2.2,0.0008487818466139422
-5.0,-2.1,-0.09120078075081885
-5.0,-2.0,-0.16092121148202554
-5.0,-1.9000000000000001,-0.191242517318978
-5.0,-1.8,-0.17474098510027986
-5.0,-1.7000000000000002,-0.11545676542412409
-5.0,-1.6,-0.027904702876677373
-5.0,-1.5,0.06647940414551572
-5.0,-1.4000000000000001,0.14458703448261165
-5.0,-1.3,0.18729471612924828
-5.0,-1.2000000000000002,0.18414611913586
-5.0,-1.1,0.13591212985758733
-5.0,-1.0,0.05440211108893698
-5.0,-0.9,-0.040427441814239365
-5.0,-0.8,-0.1253589470049653
-5.0,-0.7000000000000001,-0.17959820992275446
-5.0,-0.6000000000000001,-0.18986556734490634
-5.0,-0.5,-0.15364721208786952
-5.0,-0.4,-0.07981066067786563
-5.0,-0.30000000000000004,0.013566323960180432
-5.0,-0.2,0.10362179935068543
-5.0,-0.1,0.1683070443235489
-5.0,0.0,0.1917848549326277
-5.0,0.1,0.1683070443235489
-5.0,0.2,0.10362179935068543
-5.0,0.30000000000000004,0.013566323960180432
-5.0,0.4,-0.07981066067786563
-5.0,0.5,-0.15364721208786952
-5.0,0.6000000000000001,-0.18986556734490634
-5.0,0.7000000000000001,-0.17959820992275446
-5.0,0.8,-0.1253589470049653
-5.0,0.9,-0.040427441814239365
-5.0,1.0,0.05440211108893698
-5.0,1.1,0.13591212985758733
-5.0,1.2000000000000002,0.18414611913586
-5.0,1.3,0.18729471612924828
-5.0,1.4000000000000001,0.14458703448261165
-5.0,1.5,0.06647940414551572
-5.0,1.6,-0.027904702876677373
-5.0,1.7000000000000002,-0.11545676542412409
-5.0,1.8,-0.17474098510027986
-5.0,1.9000000000000001,-0.191242517318978
-5.0,2.0,-0.16092121148202554
-5.0,2.1,-0.09120078075081885
-5.0,2.2,0.0008487818466139422
-5.0,2.3000000000000003,0.09269053304569386
-5.0,2.4000000000000004,0.1618384090598346
-5.0,2.5,0.19136259822428964
-5.0,2.6,0.17403454933950577
-5.0,2.7,0.11409677310931028
-5.0,2.8000000000000003,0.02622412755788043
-5.0,2.9000000000000004,-0.06806909901814104
-5.0,3.0,-0.14569663616169976
-5.0,3.1,-0.18765255542504694
-5.0,3.2,-0.18366458450867595
-5.0,3.3000000000000003,-0.13470911777826247
-5.0,3.4000000000000004,-0.052772160871003115
-5.0,3.5,0.04208526151093088
-5.0,3.6,0.12663874410018117
-5.0,3.7,0.18018664545310173
-5.0,3.8000000000000003,0.1896185717701494
-5.0,3.9000000000000004,0.15262525853898073
-5.0,4.0,0.07826395902548898
-5.0,4.1000000000000005,-0.01525908720843717
-5.0,4.2,-0.10504617671446678
-5.0,4.3,-0.16911429854730403
-5.0,4.4,-0.191777342028406
-5.0,4.5,-0.16748660371232554
-5.0,4.6000000000000005,-0.1021893035079545
-5.0,4.7,-0.011872497828281613
